Title,Company,Rating,Review,Experience,Location,Salary,Description,Skills
VP & Head-Data Science & Analytics For International Markets,,,,20-27 Yrs,"Pune, Chennai, Bangalore/Bengaluru",Not disclosed,"Masters degree in statistics, applied mathematics, financial mathematics, engineering, ...","['Data', 'ScienceAnalyticsData', 'Science', 'LeaderPythonSQLMarketingLeadershipData']"
Data Science Lead,,,,5-10 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Not disclosed,Must have knowledge of statistical techniques and machine learning algorithmsExperience...,"['Data', 'Sciencedeep', 'learningNLPPower', 'BIpytestData', 'ScientistMachine', 'learningpredictive', 'analytics']"
Data Science and Analytics Lead || WFO || C2H,,,,6-10 Yrs,"Bangalore/ Bengaluru, Karnataka, Trivandrum/ Thiruvananthapuram, Kerala",10-12 Lacs PA,Share updated CV along with PAN# and highest degree certification (with final marks)Thi...,"['PysparkBigqueryBig', 'DataDataprocPythonVertexSqoopData', 'Flow']"
Data science with Statistics Professional,,,,1-3 Yrs,Bangalore/Bengaluru,Not disclosed,. Should possess extensive knowledge of and experience in applying data mining and mach...,"['deep', 'learningdata', 'scienceStaffingAnalyticalMachine', 'learningProgrammingData', 'miningbig', 'data']"
DATA SCIENCE ENGINEER,,,,3-8 Yrs,Noida,Not disclosed,Proficiency and experience data science . Experience in SQL & No SQL databases . Experi...,"['Computer', 'scienceAutomationData', 'analysisjQuerydata', 'scienceXMLMachine', 'learningJSON']"
"Data Science Engineer, SMAI",Micron Software,5.0,,1-4 Yrs,Hyderabad/Secunderabad,Not disclosed,"Bachelor s or Master s degree in Computer science, Electrical / Electronic Engineering","['Computer', 'scienceData', 'analysisAnalyticalArtificial', 'IntelligenceMachine', 'learningJavascriptAnalyticsSQL']"
Engineer II Data Science,Copeland,4.1,,2-3 Yrs,Pune,Not disclosed,"Hands-on experience with data science platforms like Azure OpenAI, IBM OpenShift(6 mont...","['data', 'cleansingStatistical', 'programmingAnalyticalMachine', 'learningSPSSdata', 'visualizationData', 'miningSQL']"
Data Science Engineer,Colruyt It Consultancy India,4.2,,8-13 Yrs,"Hyderabad/ Secunderabad, Telangana",Not disclosed,Data Science EngineerAbout the jobDigital to and from core is the DNA of Colruyt Group....,"['PandasNumpyPythonSQLData', 'ScienceData', 'engineerScienceData', 'Engineering']"
Data Science Engineer,Anetcorp India,1.8,,2-5 Yrs,Mohali,Not disclosed,". We are looking for: . A minimum of a Bachelor s degree . in a mathematical, computati...","['Computer', 'scienceAutomationGITLinuxdata', 'scienceAnalyticalDebuggingMachine', 'learning']"
Data Science Engineer - Machine/Deep Learning Models - R/Python/Scala,CARBYNETECH,4.4,,4-8 Yrs,Hyderabad/Secunderabad,Not disclosed,- Experience in research and developmentConference papers at reputed AI / ML platforms ...,"['Data', 'ScienceTensorflowRArtificial', 'IntelligenceScalaTime', 'Series', 'ForecastingBig', 'DataMachine', 'Learning']"
