Title,Company,Rating,Review,Experience,Location,Salary,Description,Skills
Data Science Engineer || Immediate Joiner || Bangalore,Conneqt,3.7,,3-8 Yrs,Hybrid - Bangalore/Bengaluru,8-18 Lacs PA,Total Experience Required: 3 to 8 YearsLocation: BangaloreWork Mode: Work from officeN...,"['Machine', 'LearningData', 'SciencePredictive', 'ModelingMachine', 'Learning', 'opsLogistic', 'RegressionRegressionText', 'MiningClustering']"
Statistical Data Sciences Lead (IC),Pfizer,4.1,,5-8 Yrs,Chennai,Not disclosed,. Accountable for the quality and timely delivery of datasets and displays required for...,"['Statistical', 'programmingCareer', 'developmentQCResourcingSAS', 'RProgrammingMentorManagement']"
Lead Data Scientist / Data Science - Manager | GeakMinds | Chennai,GeakMinds Technology Private Limited,4.5,,5-10 Yrs,Hybrid - Chennai,Not disclosed,Location: Chennai (Presently Remote) . Employment: Full time Experience: 5 - 10 years ....,"['Machine', 'LearningPythonSQLDataManagementData', 'ScienceScienceMachine']"
GN - Strategy - MC - T&O - NLP Data Science - Analyst,Accenture,4.1,,1-4 Yrs,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",Not disclosed,REQUIRED EXPERIENCE/ SKILLSA global network where only state-of-the-art tools and techn...,"['Data', 'Sciencedata', 'analyticsSASData', 'miningPythonRNLPMachine', 'learning']"
Data Science Application Developer,Accenture,4.1,,8-10 Yrs,Mumbai,Not disclosed,Professional Attributes : 1: Good communication 2: Good Leadership skills and team hand...,"['Data', 'Scienceoperational', 'supportdata', 'analysisdata', 'managementadvanced', 'excelteam', 'handlingstatistical', 'modelinghardware', 'testing']"
Data Science Lead,IKS HEALTH,3.5,,6-11 Yrs,Remote,Not disclosed,"Create specification, technical documentation and estimations as required for various p...","['PythonData', 'ScienceDataScience']"
Data Science Application Developer,Accenture,4.1,,6-8 Yrs,Mumbai,Not disclosed,Professional Attributes : 1: Good communication 2: Good Leadership skills and team hand...,"['Data', 'ScienceRCAServiceNowData', 'managementData', 'anMobile', 'Device', 'ManagementAgileSCRUM']"
"Consultant, Data Science & Analytics",Transunion,4.2,,1-2 Yrs,Pune,Not disclosed,"Degree, Masters Degree or PhD degree in statistics, applied mathematics, financial math...","['Operations', 'researchLinuxAnalyticalRisk', 'managementBusiness', 'intelligenceDigital', 'marketingGamingFinancial', 'services']"
Data Scientist - Data Science (Regression),Tiger Analytics,3.5,,5-8 Yrs,"Hybrid - Hyderabad/ Secunderabad, Telangana, Bangalore Rural, Karnataka, Chennai, Tamil Nadu",Not disclosed,"Data Scientist - Data Science (Regression) - (Chennai, Bangalore, Hyderabad) Remote I...","['Data', 'ScienceregressionLinear', 'RegressionPythonCustomer', 'Analyticsdata', 'scientistModel', 'BuildingMarketing', 'Analytics']"
Software Development Engineer III - Data Sciences,Flipkart,4.1,,6-8 Yrs,Bangalore/Bengaluru,Not disclosed,over time and make tech stack decisions accordingly to succeed in this data engineering...,"['Software', 'DevelopmentData', 'SciencepythonNoSQLGCPHadoopOLAPSpark']"
Assistant Scientist - Data Science Platform,Axa Technology Services,4.1,,2-4 Yrs,Gurgaon/Gurugram,Not disclosed,Prior experience of Cloud adminimum Linux and / or Database Administration . Hands-on t...,"['Product', 'managementLinuxdata', 'scienceAnalyticalMachine', 'learningCloudAgileDatabase', 'administration']"
Data Analysis & Interpretation Data Science Practitioner,Accenture,4.1,,6-8 Yrs,Hyderabad/Secunderabad,Not disclosed,Educational Qualification : Any Graduate . Technical Experience : 1Must have experience...,"['Data', 'analysisdata', 'scienceGCPData', 'analyticsSQL', 'queriesBigQuerybig', 'dataInterpretation']"
Data Science Analyst,Omnicom Media Group,3.5,,1-4 Yrs,"Hyderabad/Secunderabad, Bangalore/Bengaluru(Dodda Nekkundi), Delhi / NCR",Not disclosed,Experience with cloud computing such as AWS or Google Cloud Platform and others Preferr...,"['ChatGPTMarketing', 'MixAWSPythonSQLGenerative', 'AIArtificial', 'IntelligencePandas']"
"Senior Manager, Data Science",Visa Inc,4.2,,8-13 Yrs,Mumbai,Not disclosed,"Build a highly motivated, engaging and result oriented team. What you will need: . Bach...","['data', 'scienceCodingConsultingManager', 'Quality', 'ControlRisk', 'managementPortfolio', 'managementAnalyticsSQL']"
Senior Analyst - Data Science,AMERICAN EXPRESS,4.3,,0-3 Yrs,Gurgaon/Gurugram,Not disclosed,"Academic Background: . MBA, Masters Degree In Machine Learning, Computer Science, Stati...","['Text', 'miningCareer', 'developmentFinanceAnalyticalArtificial', 'IntelligenceMachine', 'learningmodel', 'developmentRisk', 'management']"
Data Science (Generative AI) - Senior Manager - ANI,PwC,3.6,,12-20 Yrs,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Not disclosed,A career in our Advisory Acceleration Centre is the natural extension of PwC s leadin...,"['Cluster', 'analysisdeep', 'learningorchestrationGCPMachine', 'learningProcess', 'qualityData', 'analyticsAWS']"
Sr. Data Science Engineer,Anetcorp India,1.8,,2-5 Yrs,Remote,Not disclosed,Collaborate with a cross-functional team of customer-facing teammates to ensure that th...,"['Data', 'WranglingPandasData', 'AnalysisData', 'VisualizationJupyter', 'NotebookNumpyPythonData']"
Technology Lead - Data Science,,,,8-15 Yrs,Bangalore/Bengaluru,Not disclosed,Recruit and mentor a team of freshersRequirements: Bachelor s or master s degree in com...,"['Computer', 'scienceText', 'miningData', 'analysisGCPMachine', 'learningAlgorithm', 'developmentNatural', 'language', 'processingProject', 'delivery']"
Intermediate Data Science Specialist,CDM Smith,4.1,,3-5 Yrs,Bangalore/Bengaluru,Not disclosed,Why CDM Smith? :Imagine a place committed to offering an unmatched employee experience....,"['Natural', 'Language', 'ProcessingStatistical', 'ModelingMachine', 'LearningData', 'ScienceAdvanced', 'AnalyticsDataScienceProcess']"
Data Science Lead,Infogain,3.6,,8-11 Yrs,"Hybrid - Bangalore/ Bengaluru, Karnataka, Delhi / NCR, Mumbai (All Areas)",Not disclosed,Skills you should have: Experience in implementing the advanced techniques / methods li...,"['Data', 'ScienceNatural', 'Language', 'ProcessingNeural', 'NetworksTime', 'SeriesComputer', 'VisionProcessNetworkingScience']"
Senior Manager - Data Science | 6-8 Years| Mumbai,Xtage Technologies,4.8,,6-8 Yrs,Mumbai (All Areas),35-45 Lacs PA,The solutions are focused on providing valuable inputs to the business driving better o...,"['Predictive', 'ModelingCustomer', 'AnalyticsMarketing', 'AnalyticsMachine', 'LearningPythonAWSModelingAnalytics']"
Manager Data Science,AMERICAN EXPRESS,4.3,,5-6 Yrs,Gurgaon/Gurugram,Not disclosed,"Were seeking an experienced professional with strong quantitative skills, in-depth b...","['Computer', 'scienceData', 'analysisFinanceProject', 'managementRelationship', 'buildingPredictive', 'modelingForecastingOperations']"
"Data Science Engineer - NLP, LLM, and Generative AI Services",Desicrew Solutions,3.8,,2-7 Yrs,"Kolkata, Hyderabad/Secunderabad, Pune, Calicut/ Kozhikode, Kerala, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",2.5-7.5 Lacs PA,"We are looking for a Software Application Engineer with expertise in providing NLP, LLM...","['Natural', 'Language', 'ProcessingLLMlarge', 'language', 'modelData', 'Sciencegenerative', 'ai', 'servicesArtificial', 'IntelligenceProcessingProcess']"
Data Science Engineer,,,,4-8 Yrs,"Pune, Maharashtra(Kalyani Nagar)",18-30 Lacs PA,"As a Data Science Engineer at Phonologies, you will be a key contributor to our team bu...","['SLMNatural', 'Language', 'Processinglarge', 'language', 'modelsDeep', 'LearningPythonTensorflowPytorchnamed', 'entity', 'recognition']"
Senior Manager - Data Science | 6-8 Years| Bengaluru/Gurugram,Xtage Technologies,4.8,,6-8 Yrs,"Hybrid - Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",35-45 Lacs PA,The solutions are focused on providing valuable inputs to the business driving better o...,"['Predictive', 'ModelingCustomer', 'AnalyticsMarketing', 'AnalyticsMachine', 'LearningPythonAWSDataSenior']"
"Senior Analyst, Customer Analytics(Data Science, SQL)","Western Union Financial Services, Inc",4.1,,3-5 Yrs,Pune,Not disclosed,. Role Requirements . 3 to 5 years of experience in a data analytics roleHands on exper...,"['AnalystHealth', 'insuranceDigital', 'mediacustomer', 'analyticsdata', 'scienceFinancial', 'servicesMonitoringTravel', 'insurance']"
"Senior Model Governance Analyst, Data Science & Analytics",Transunion,4.2,,5-9 Yrs,Pune,Not disclosed,The Model Governance team supports the TransUnion Model Risk Management process . You w...,"['Cloud', 'computingManager', 'Internal', 'AuditBusiness', 'analyticsConsultingMachine', 'learningAgileGap', 'analysisRisk', 'management']"
Manager - Data Science | Leading Finance Co. | Gurgaon,,,,5-10 Yrs,"Noida, Uttar Pradesh, New Delhi, Delhi, Gurgaon/ Gurugram, Haryana",Not disclosed,"Manage a team of data scientists, support & provide technical guidance. - Provide quant...","['Data', 'ScienceInsightsdataSASArtificial', 'IntelligenceFinanceTableauForecasting']"
Lead Data Scientist / Data Science - Manager | GeakMinds | Chennai,GeakMinds Technology Private Limited,4.5,,5-8 Yrs,Hybrid - Chennai,Not disclosed,Location: Chennai (Presently Remote) . Employment: Full time Experience: 5 - 8 years . ...,"['Machine', 'LearningPythonSQLScienceManagementMachineData', 'ScienceData']"
Manager Data Science,,,,3-5 Yrs,Gurgaon/Gurugram,Not disclosed,Strategic Partnership: Manage stakeholder relationships to assess needs and tran...,"['Data', 'analysisFinanceProject', 'managementRelationship', 'buildingPredictive', 'modelingForecastingOperationsMonitoring']"
Senior Analyst Data Science,Navit Software Solutions,4.7,,5-8 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed,"You will be required to utilize the existing frameworks, standards, patterns to create ...","['Analytical', 'skillsdeep', 'learningAnalystPublishingArchitecturedata', 'scienceArtificial', 'Intelligencedata', 'visualization']"
Data Science Consultant -SQL/Python/Satatistics/Analytics,Blue Yonder,4.2,,5-10 Yrs,Bangalore/Bengaluru,Not disclosed,"Experience with NoSQL databases, such as MongoDB, Cassandra . Good applied statistics s...","['Supply', 'chainAnalyticalMachine', 'learningData', 'collectionData', 'miningMATLABAnalyticsSQL']"
Senior Digital Innovation Engineer - Data Science,Buckman,3.7,,7-12 Yrs,Chennai,Not disclosed,"Basic Qualifications . Bachelors degree in a quantitative field such as Data Science, S...","['Water', 'treatmentC++data', 'scienceAnalyticalData', 'miningMATLABAnalyticsSQL']"
Data Science Analytics Specialist - Data Science,Accenture,4.1,,7-11 Yrs,Mumbai,Not disclosed,Please note that this role may require you to work in rotational shiftsQualifications: ...,"['Data', 'SciencePredictive', 'modelingAnalyticsdata', 'analysisdata', 'modelingArtificial', 'IntelligenceIntelligenceAnalysis']"
Deputy Manager/ Assistant Manager - Data Science,Tata Chemicals,4.1,,5-8 Yrs,Pune,Not disclosed,Skills Required . A successful candidate should be well versed with statistical tools r...,"['Chemicaldata', 'scienceData', 'modelingAnalyticalGenomicsMachine', 'learningCloudData', 'analytics']"
"Analytics Analyst, Data Science & Analytics",Transunion,4.2,,4-7 Yrs,Pune,Not disclosed,"Skills & Experience: Degree, Masters Degree or PhD degree in statistics, applied mathem...","['Cloud', 'computingOperations', 'researchAnalyticalAgileRisk', 'managementBusiness', 'intelligenceGamingAnalytics']"
Data Science Analyst,,,,3-8 Yrs,Hyderabad/Secunderabad,Not disclosed,Experience in Developing and enhancing algorithms and models to solve business problem ...,"['Analystdata', 'scienceAnalyticalMachine', 'learningProgrammingData', 'analyticsPythonmachine']"
Senior Analyst - Data Science,,,,0-3 Yrs,Gurgaon/Gurugram,Not disclosed,"The successful candidate will be responsible to manage and controls model risk, speci...","['Text', 'miningComputer', 'scienceCareer', 'developmentFinanceAnalyticalArtificial', 'IntelligenceMachine', 'learningWellness']"
Data Science Specialist,Accenture,4.1,,2-4 Yrs,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed,Must Have Knowledge of statistical techniques and machine learning algorithms Hands-on ...,"['Product', 'managementChange', 'managementConsultingMachine', 'learningPythonBusiness', 'processArtificial', 'IntelligenceNatural', 'language', 'processing']"
Analyst Data Science,Navit Software Solutions,4.7,,3-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed,We are looking for a passionate certified Data AnalystLocate and define new process imp...,"['Business', 'objectsSASProcess', 'improvementXMLJavascriptData', 'collectionManager', 'Quality', 'ControlSPSS']"
Data Science (Data Scientist/ Sr.Data Scientist),Walmart,4.0,,4-8 Yrs,Bangalore/Bengaluru,Not disclosed,Tech Problem Formulation: Requires knowledge of: Analytics/big data analytics / autom...,"['Computer', 'scienceAutomationData', 'migrationCodingDebuggingJavascriptSeleniumJIRA']"
Manager - Analytics & Data Science,BMC Software,4.3,,10-12 Yrs,Pune,Not disclosed,"Experience leading and managing transformation, with demonstrable results in enabling c...","['SASData', 'managementProject', 'managementAnalyticalStrategic', 'planningCustomer', 'retentionMarket', 'researchRecruitment']"
Data Science Engineer,Flightcase It Services,2.1,,3-8 Yrs,Remote,10-17 Lacs PA,": . Bachelors degree in mathematics, statistics, healthcare administration, or related ...","['pythonhealthcareData', 'SciencePatient', 'CareHealthcare', 'AnalyticsPower', 'BihealthData', 'Visualization']"
"Data Science Trainer | Kharadi ,Pune",,,,3-8 Yrs,"Pune, Maharashtra",6-11 Lacs PA,"Preferred candidate profile : As a Data Science Trainer, you will be responsible for de...","['Machine', 'LearningDeep', 'Learningdata', 'scienceStatistical', 'Modelingdata', 'visualizationPredictive', 'ModelingStreamlining', 'Operationsalgorithms']"
"Manager, Marketing Data Science",Oportun,4.0,,5-7 Yrs,Remote,Not disclosed,". Master s degree or PhD in Statistics, Mathematics, Computer Science, Engineering or E...","['Computer', 'scienceLogistic', 'regressionProject', 'planningBudgetingRisk', 'managementDigital', 'marketingStakeholder', 'managementMonitoring']"
Data Science Lead,Digilytics AI,3.9,,5-7 Yrs,"Hybrid - Gurgaon/ Gurugram, Haryana",Not disclosed,"About UsAt Digilytics, we build and deliver easy to use AI products to the secured lend...","['pythondata', 'scienceTeam', 'ManagementPredictive', 'ModelingArtificial', 'IntelligenceNatural', 'Language', 'ProcessingComputer', 'VisionMachine', 'Learning']"
Data Engineer - Machine Learning/Data Science,Globalfoundries,3.5,,1-5 Yrs,Bangalore/Bengaluru,Not disclosed,The Data Science team in GLOBALFOUNDRIES has a primary mission of delivering data eng...,"['AutomationSemiconductorProject', 'managementRisk', 'assessmentMachine', 'learningData', 'analyticsJSONSQL']"
Senior Developer - Data Engineering/Science,3M India,4.2,,5-10 Yrs,Bangalore/Bengaluru,Not disclosed,". Job Requirements: . Master s Degree in Computer Science, Engineering or Technology fr...","['Supply', 'chainComputer', 'scienceAnalyticalArtificial', 'IntelligenceMachine', 'learningEngineering', 'ManagerNatural', 'language', 'processingForecasting']"
Lead Data Science Engineer,Coders Brain Pvt Ltd,3.8,,4-8 Yrs,Bangalore/Bengaluru,Not disclosed,"Bachelors or Masters degree in Computer Science, Engineering, or a related field . 4 to...","['NoSQLdata', 'scienceAgile', 'scrumProject', 'managementMachine', 'learningData', 'analyticsdata', 'visualizationOpen', 'source']"
Senior Analyst - Data Science (Regression),Tiger Analytics,3.5,,2-7 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Not disclosed,"A passion for writing high-quality code (Python) and the code should be modular, scalab...","['Analystcustomer', 'analyticsMarketing', 'analyticsdata', 'scienceAnalyticalConsultingMachine', 'learningSilicon']"
Data Science Application Developer,Accenture,4.1,,8-10 Yrs,Bangalore/Bengaluru,Not disclosed,Professional Attributes : 1: Must have good communication skills 2: Must have ability t...,"['Azuredata', 'scienceAWSPythonApplication', 'Developmentmachine', 'learningDataApplication']"
Data Scientist Fraud & Credit Risk - Decision Science,Fiserv,3.7,,10-15 Yrs,"Thane, Maharashtra, Navi Mumbai, Maharashtra, Mumbai (All Areas)",Not disclosed,Job Posting Title: Data Scientist Fraud & Credit Risk - Decision ScienceLocation: Tha...,"['Predictive', 'ModelingStatistical', 'ModelingMachine', 'LearningPythonFinancial', 'ModellingRLogistic', 'RegressionRisk', 'Analytics']"
Manager Data Science,Grab,4.3,,1-5 Yrs,Bangalore/Bengaluru,Not disclosed,Team leading role with at least 8+ years of experienceDeep experience in building machi...,"['Team', 'leadingdata', 'scienceCodingRisk', 'analyticssparkMachine', 'learningData', 'analyticsCredit', 'risk']"
Data Science Engineer,,,,1-4 Yrs,"Bangalore/ Bengaluru, Karnataka(Electronic City)",Not disclosed,Data ScienceWe are looking for a highly motivated data scientist to develop and apply c...,"['pythonnumpymachine', 'learningtensorflowPandasdeep', 'learning', 'frameworksalgorithmsdata', 'analytics']"
Manager - Data Science - Analytics,Tata Capital,4.2,,4-5 Yrs,Warangal,Not disclosed,Major Deliverables: Drive risk analytics initiative for Retail & Mo...,"['SalesMortgageMISProcess', 'improvementCredit', 'underwritingManagementLegal', 'documentationCredit', 'risk']"
Manager - Data Science - Analytics,Tata Capital,4.2,,4-5 Yrs,Tiruchirapalli/Trichy,Not disclosed,Major Deliverables: Drive risk analytics initiative for Retail & Mo...,"['SalesMortgageMISProcess', 'improvementCredit', 'underwritingManagementLegal', 'documentationCredit', 'risk']"
Manager - Data Science - Analytics,Tata Capital,4.2,,4-5 Yrs,Madurai,Not disclosed,Major Deliverables: Drive risk analytics initiative for Retail & Mo...,"['SalesMortgageMISProcess', 'improvementCredit', 'underwritingManagementLegal', 'documentationCredit', 'risk']"
Data Science Engineer : Bangalore,Oracle,3.9,,5-9 Yrs,Hybrid - Bangalore/Bengaluru,Not disclosed,We are looking for a Data Science Engineer with good analytical skills and the ability ...,['javaSparkPythonKafka']
Business Analyst - Data Science,PayU,3.8,,4-9 Yrs,Bangalore/Bengaluru,Not disclosed,"Requirements to be successful in this role: . . . . . . A degree in Statistics, Compute...","['Computer', 'scienceWealth', 'managementLead', 'Business', 'AnalystMachine', 'learningManager', 'TechnologyStakeholder', 'managementFinancial', 'servicesAnalytics']"
Data Science and Analytics Technology Lead For Infosys - C2H,,,,5-10 Yrs,"Pune, Maharashtra, Bangalore/Bengaluru, Trivandrum/ Thiruvananthapuram, Kerala",7-12 Lacs PA,"Qualifications: . Bachelors or Masters degree in Computer Science, Data Science, or a r...",['PysparkBigqueryHDFSDataprocMiopsAirflowVertexPubsub']
Data Science Engineer,,,,8-10 Yrs,"Hyderabad/Secunderabad, Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/Bengaluru, Mumbai (All Areas)",10-20 Lacs PA,"Mandatory Skills: Python, Distance Matching Algorithms (Cosine, Soundex, , levenshtein ...","['Data', 'SciencelevenshteinSoundexfuzzy', 'matchingPythoncosineDataTrigonometry']"
Data Science Engineer,,,,8-13 Yrs,"Hyderabad/Secunderabad, Pune, Chennai, Tamil Nadu, Bangalore/Bengaluru, Mumbai (All Areas)",Not disclosed,"Mandatory Skills: Python, Distance Matching Algorithms (Cosine, Soundex, , levenshtein ...","['SoundexFuzzy', 'matchingData', 'AnalysisPythonCosinelevenshteinScienceTrigonometry']"
Engineer - Data Science (DATA SCIENCE ENGINEER),Ninestars Information Technologies,3.3,,0-1 Yrs,Bangalore/Bengaluru,Not disclosed,Hands-on coding expertise / Solid Programming Fundamentals in (at least one langua...,"['Computer', 'visiondata', 'scienceCodingAnalyticalArtificial', 'IntelligenceMachine', 'learningData', 'structuresAnalytics']"
"Sr. Data Science Lead(Data Pipeline, Data Modeling, Dataiku,Python)",Wipro,3.8,,5-7 Yrs,"Pune, Bangalore/Bengaluru",Not disclosed,"Data science, Python, ML, Deep learning, NLP experience is MUST- Strong experience in e...","['PythonDeep', 'learningData', 'ScienceTensorflowNLPPyTorchMxNETDL']"
"Sr. Manager, Data Science",Visa Inc,4.2,,10-20 Yrs,Bangalore/Bengaluru,Not disclosed,. What you will need: . 10+ years experience building end-to-end analytical systems as ...,"['Statistical', 'programmingManaged', 'servicesdata', 'scienceAnalyticalRetail', 'bankingConsultingEconometricsAnalytics']"
Data Analyst - Equity Data Science,,,,1-3 Yrs,Mumbai,Not disclosed,Prior experience with data analytics or internships in a similar role is a bonus Bachel...,"['Data', 'analysisData', 'validationExcelData', 'modelingAnalyticalData', 'collectionTIBCOData', 'quality']"
Sr. Data Science Analyst,Alliance Data,3.9,,2-6 Yrs,Bangalore/Bengaluru,Not disclosed,"Bachelor s degree in statistics, mathematics, engineering, data science, economics, com...","['Data', 'analysisdata', 'scienceAnalyticalPredictive', 'modelingRisk', 'managementData', 'miningForecastingFinancial', 'services']"
Assistant Vice President/Vice President - Data Science and Analytics,,,,10-13 Yrs,Mumbai (All Areas),35-50 Lacs PA,"Education: Bachelors degree / Masters Degree required, preferably with a quantitative f...","['Data', 'ScienceAnalyticsRPythonScienceDataAssistanceData', 'analytics']"
Data Science Specialist,Techsist Solution,3.4,,7-12 Yrs,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed,"The candidate should be proficient in using cloud services from providers such as GCP, ...","['C++data', 'scienceLinuxGCPdevopsAgileNatural', 'language', 'processingWindows']"
Data Science Professional,Response Informatics,3.9,,5-10 Yrs,"Kolkata, Mumbai, Hyderabad/Secunderabad, New Delhi, Pune, Chennai, Bangalore/Bengaluru",Not disclosed,"Python with OOP concepts, Must have knowledge of statistical techniques and machine lea...","['UnixAutomationdata', 'scienceLinuxBusiness', 'analysisMachine', 'learningdata', 'visualizationTest', 'cases']"
Data Science Trainer,Super Scholar,5.0,,1-3 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed,"Provide hands-on experience with data science tools and technologies, including Python,...","['Computer', 'scienceTrainingCareer', 'developmentData', 'analysisdata', 'scienceMachine', 'learningPredictive', 'modelingdata', 'visualization']"
Data Scientist - Data Science (Regression),Tiger Analytics,3.5,,4-9 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Not disclosed,"A passion for writing high-quality code (Python) and the code should be modular, scalab...","['customer', 'analyticsMarketing', 'analyticsdata', 'scienceProcess', 'documentationAnalyticalConsultingMachine', 'learningSilicon']"
Data Science Professional,Coders Brain Pvt Ltd,3.8,,10-15 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed,"Strong experience working with data science/ML libraries in python (SciPy, NumPy, Te...","['Front', 'endGITNoSQLWeb', 'analyticsRDBMScassandraJSONtest', 'driven', 'development']"
Data Science Engineer,IBM,4.1,,6-11 Yrs,Bangalore/Bengaluru,Not disclosed,Preferred Technical and Professional Expertise. Strong problem-solving skills through s...,"['JavascriptingCPythonSQLSemiconductorStatistical', 'analysisDiagnostics']"
Data Science Engineer,IBM,4.1,,6-10 Yrs,Bangalore/Bengaluru,Not disclosed,"As a Hardware Developer at IBM, you ll get to work on the systems that are driving the ...","['Javadata', 'scienceProgrammingSQLPythondata', 'modelingdata', 'sciencescircuit', 'analysis']"
Data Science Engineer,Wipro,3.8,,5-7 Yrs,Bangalore/Bengaluru,Not disclosed,"Experience with Open Source LLM and Langchain Framework . Expertise in Python and SQL, ...","['TensorFlowSpark', 'NLPHuggingFaceHadoopFlairApache', 'SparkNLTKspaCy']"
Data Science Engineers,Tata Elxsi,4.0,,3-7 Yrs,Bangalore/Bengaluru,Not disclosed,"Knowledge of one of the platforms like Pentaho, Matillion, Talend, will be added advant...","['HibernateTomcatdata', 'scienceData', 'collectionJDBCbig', 'dataPentahoAnalytics']"
Senior Associate Data Science L2,Publicis Resources,3.7,,6-9 Yrs,"Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",22.5-32.5 Lacs PA,"Role & responsibilities Provide technical thought leadership, coaching and mentorship i...","['RnnRegressionKnnMachine', 'LearningDeep', 'LearningCNNClassificationMlops']"
Senior Associate Data Science L1,Publicis Resources,3.7,,4-6 Yrs,"Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",13-22.5 Lacs PA,Preferred candidate profile . Experience in working on cloud environment for model deve...,"['RnnClassificationRegressionMachine', 'LearningDeep', 'LearningCNNKnnPython']"
"Senior Engineer, Data Science",Renault,4.2,,7-7 Yrs,Chennai,Not disclosed,Enable AI adoption in various areas of the organisation Manage a t...,"['Computer', 'visiondeep', 'learningdata', 'scienceArchitectureResourcingCompetency', 'developmentBudgetingAnalytics']"
Advisory Data Science Manager,KPMG Global Services Private Limited,3.8,,3-6 Yrs,Bangalore/Bengaluru,Not disclosed,"Bachelors or Masters in any of the following: Engineering, Statistics, Mathematics, Eco...","['Data', 'analysisGITCodingMachine', 'learningPredictive', 'modelingdata', 'visualizationAnalyticsMonitoring']"
Machine Learning Data Science Practitioner,Accenture,4.1,,4-6 Yrs,Bangalore/Bengaluru,Not disclosed,Work Experience :4-6 years Technical Experience : IN0249 . .,"['data', 'scienceMachine', 'learningbig', 'datadata', 'analysisdata', 'modelingdata', 'insightsAnalysisInsights']"
Machine Learning Data Science Practitioner,Accenture,4.1,,6-8 Yrs,Bangalore/Bengaluru,Not disclosed,Work Experience :6-8 years Technical Experience : IN0182,"['Strategy', 'consultingdata', 'scienceNetworkingMachine', 'learningbig', 'datasubject', 'matter', 'expertisetechnology', 'operationsSubject']"
Data Science consultant,Accenture,4.1,,4-5 Yrs,Bangalore/Bengaluru,Not disclosed,"As part of this role, the candidate is expected to have experience and be well versed i...","['data', 'sciencePythonSQLcustomer', 'analyticsnode.jsnlpregression', 'testingOmni', 'Channel', 'Integration']"
Computer Vision Data Science Practitioner,Accenture,4.1,,4-6 Yrs,Bangalore/Bengaluru,Not disclosed,Technical Experience : IN0211,"['data', 'sciencebig', 'dataComputer', 'Visiondata', 'acquiringComputerDataScienceAcquisition']"
Machine Learning Data Science Practitioner,Accenture,4.1,,2-4 Yrs,Bangalore/Bengaluru,Not disclosed,"Project Role :Data Science PractitionerProject Role Description :Manage, architect and ...","['data', 'scienceMachine', 'learningbig', 'datadata', 'modellingdata', 'acquiringData', 'modelingData', 'AcquisitionModeling']"
Advisory Data Science Assistant Manager,KPMG Global Services Private Limited,3.8,,2-5 Yrs,Bangalore/Bengaluru,Not disclosed,"Experience is solving business problems using statistics and ML - EDA, Predictive Model...","['Data', 'analysisGITCodingMachine', 'learningPredictive', 'modelingdata', 'visualizationAnalyticsMonitoring']"
Computer Vision Data Science Practitioner,Accenture,4.1,,6-8 Yrs,Bangalore/Bengaluru,Not disclosed,Work Experience :6-8 years Technical Experience : IN0193,"['Computer', 'visiondata', 'sciencebig', 'dataMachine', 'LearningDeep', 'LearningComputerMachineData']"
Machine Learning Data Science Practitioner,Accenture,4.1,,2-4 Yrs,Bangalore/Bengaluru,Not disclosed,Work Experience :5-4 years,"['data', 'scienceNetworkingMachine', 'learningbig', 'datadata', 'modelsData', 'Science', 'PractitionerScienceData']"
Machine Learning Data Science Practitioner,Accenture,4.1,,6-8 Yrs,Bangalore/Bengaluru,Not disclosed,Work Experience :6-8 years,"['data', 'scienceMachine', 'learningbig', 'dataData', 'Science', 'PractitionerScienceDataMachine']"
Data Science Professional,Wipro,3.8,,6-11 Yrs,Bangalore/Bengaluru,Not disclosed,"Experience with Open Source LLM and Langchain Framework . Expertise in Python and SQL, ...","['Open', 'SourceLangchain', 'FrameworkLLMNLPDeep', 'learning', 'frameworkHadoopmicrosoft', 'azureSQL']"
